Vehicle Count,Time Allocated (seconds),Fixed Time
2,5,45
2,5,60
3,7,60
4,7,45
2,5,60
3,7,45
4,7,30
8,11,30
9,13,30
11,15,30
7,11,60
5,9,60
6,9,60
3,7,30
2,5,60
3,7,45
3,7,45
3,7,45
3,7,60
4,7,30
6,9,30
3,7,45
2,5,60
5,9,45
3,7,45
5,9,60
4,7,30
2,5,30
5,9,45
5,9,60
2,5,45
2,5,30
2,5,45
1,5,45
1,5,45
1,5,60
2,5,60
2,5,30
3,7,30
3,7,60
3,7,60
4,7,45
4,7,30
3,7,30
1,5,45
4,7,30
0,2,60
2,5,30
0,2,30
2,5,60
2,5,45
2,5,45
1,5,30
4,7,30
2,5,60
1,5,45
2,5,60
4,7,45
4,7,30
4,7,30
1,5,30
3,7,30
4,7,30
1,5,30
4,7,30
1,5,45
3,7,60
3,7,45
4,7,60
2,5,60
2,5,45
3,7,30
4,7,30
1,5,30
2,5,45
3,7,45
1,5,60
5,9,45
3,7,45
0,2,60
1,5,30
3,7,60
4,7,45
3,7,45
2,5,45
2,5,60
3,7,30
2,5,60
1,5,30
2,5,30
1,5,60
1,5,45
2,5,60
2,5,45
2,5,45
3,7,30
5,9,60
6,9,45
4,7,60
5,9,60
3,7,45
5,9,60
6,9,60
5,9,45
2,5,30
1,5,60
0,2,45
1,5,30
4,7,30
0,2,30
0,2,45
1,5,45
0,2,30
1,5,30
3,7,45
4,7,60
1,5,30
1,5,30
1,5,60
4,7,60
1,5,60
4,7,30
2,5,45
1,5,60
1,5,60
0,2,30
2,5,45
1,5,60
1,5,60
4,7,45
4,7,45
1,5,30
1,5,30
1,5,30
4,7,45
1,5,60
0,2,60
0,2,60
0,2,60
2,5,60
1,5,60
3,7,60
2,5,45
5,9,60
3,7,60
1,5,30
6,9,60
3,7,60
2,5,60
5,9,45
4,7,45
5,9,30
2,5,30
5,9,60
5,9,45
3,7,60
2,5,60
2,5,45
3,7,45
4,7,60
3,7,30
6,9,60
1,5,30
3,7,30
5,9,45
3,7,45
5,9,45
5,9,30
1,5,30
2,5,45
3,7,30
4,7,30
1,5,60
2,5,60
0,2,45
2,5,30
4,7,30
7,11,60
8,11,45
1,5,45
5,9,60
5,9,60
2,5,60
3,7,60
1,5,30
1,5,60
4,7,60
5,9,45
5,9,30
2,5,45
4,7,60
3,7,45
6,9,45
3,7,60
8,11,30
2,5,60
0,2,30
4,7,60
4,7,30
2,5,30
4,7,60
5,9,45
2,5,30
4,7,45
2,5,30
1,5,45
1,5,60
1,5,30
1,5,45
3,7,45
5,9,60
1,5,30
4,7,30
3,7,45
2,5,60
0,2,45
4,7,45
2,5,30
